Start station,Start time,End station,End time
160,2016-12-01 06:59:05 +0100,233,2016-12-01 07:09:41 +0100
226,2016-12-01 06:59:17 +0100,195,2016-12-01 07:07:01 +0100
262,2016-12-01 06:59:22 +0100,281,2016-12-01 07:04:09 +0100
291,2016-12-01 06:59:35 +0100,217,2016-12-01 07:03:49 +0100
267,2016-12-01 06:59:42 +0100,170,2016-12-01 07:07:46 +0100
163,2016-12-01 06:59:45 +0100,175,2016-12-01 07:01:14 +0100
242,2016-12-01 06:59:59 +0100,200,2016-12-01 07:38:26 +0100
215,2016-12-01 07:00:34 +0100,162,2016-12-01 07:06:59 +0100
233,2016-12-01 07:00:51 +0100,186,2016-12-01 07:07:27 +0100
272,2016-12-01 07:01:39 +0100,249,2016-12-01 07:07:34 +0100
233,2016-12-01 07:02:40 +0100,293,2016-12-01 07:21:54 +0100
301,2016-12-01 07:02:50 +0100,199,2016-12-01 07:04:36 +0100
157,2016-12-01 07:03:06 +0100,211,2016-12-01 07:07:52 +0100
242,2016-12-01 07:03:16 +0100,214,2016-12-01 07:11:12 +0100
294,2016-12-01 07:03:46 +0100,220,2016-12-01 07:09:51 +0100
164,2016-12-01 07:04:16 +0100,186,2016-12-01 07:08:02 +0100
218,2016-12-01 07:04:31 +0100,199,2016-12-01 07:08:09 +0100
285,2016-12-01 07:05:30 +0100,279,2016-12-01 07:16:19 +0100
265,2016-12-01 07:05:31 +0100,274,2016-12-01 07:15:16 +0100
162,2016-12-01 07:06:26 +0100,230,2016-12-01 08:36:12 +0100
182,2016-12-01 07:06:50 +0100,184,2016-12-01 07:16:32 +0100
179,2016-12-01 07:06:50 +0100,235,2016-12-01 07:14:37 +0100
191,2016-12-01 07:07:48 +0100,297,2016-12-01 07:14:24 +0100
157,2016-12-01 07:08:00 +0100,191,2016-12-01 07:10:50 +0100
260,2016-12-01 07:08:07 +0100,292,2016-12-01 07:12:49 +0100
280,2016-12-01 07:08:21 +0100,294,2016-12-01 07:12:31 +0100
226,2016-12-01 07:08:44 +0100,262,2016-12-01 07:14:29 +0100
204,2016-12-01 07:08:47 +0100,234,2016-12-01 07:13:54 +0100
266,2016-12-01 07:08:57 +0100,279,2016-12-01 07:16:52 +0100
233,2016-12-01 07:10:21 +0100,204,2016-12-01 07:40:45 +0100
214,2016-12-01 07:10:39 +0100,163,2016-12-01 07:13:58 +0100
185,2016-12-01 07:10:42 +0100,209,2016-12-01 07:22:17 +0100
162,2016-12-01 07:10:47 +0100,220,2016-12-01 07:21:48 +0100
241,2016-12-01 07:11:27 +0100,219,2016-12-01 07:17:06 +0100
200,2016-12-01 07:14:21 +0100,214,2016-12-01 07:19:21 +0100
191,2016-12-01 07:14:34 +0100,236,2016-12-01 07:17:25 +0100
242,2016-12-01 07:14:58 +0100,262,2016-12-01 07:23:05 +0100
253,2016-12-01 07:16:19 +0100,260,2016-12-01 07:23:12 +0100
177,2016-12-01 07:16:50 +0100,173,2016-12-01 07:22:37 +0100
262,2016-12-01 07:16:56 +0100,181,2016-12-01 07:23:51 +0100
195,2016-12-01 07:17:02 +0100,253,2016-12-01 07:18:57 +0100
298,2016-12-01 07:18:11 +0100,241,2016-12-01 07:26:01 +0100
159,2016-12-01 07:18:30 +0100,215,2016-12-01 07:21:54 +0100
206,2016-12-01 07:18:35 +0100,157,2016-12-01 07:26:00 +0100
262,2016-12-01 07:18:45 +0100,211,2016-12-01 07:24:33 +0100
257,2016-12-01 07:18:50 +0100,294,2016-12-01 07:25:13 +0100
198,2016-12-01 07:19:27 +0100,291,2016-12-01 07:23:40 +0100
219,2016-12-01 07:19:43 +0100,292,2016-12-01 07:26:32 +0100
268,2016-12-01 07:20:04 +0100,291,2016-12-01 07:25:42 +0100
218,2016-12-01 07:20:24 +0100,178,2016-12-01 07:26:03 +0100
228,2016-12-01 07:21:01 +0100,161,2016-12-01 07:27:42 +0100
295,2016-12-01 07:21:31 +0100,277,2016-12-01 07:25:08 +0100
262,2016-12-01 07:21:50 +0100,297,2016-12-01 07:32:31 +0100
272,2016-12-01 07:22:02 +0100,272,2016-12-01 07:22:42 +0100
161,2016-12-01 07:22:06 +0100,243,2016-12-01 07:29:45 +0100
272,2016-12-01 07:22:49 +0100,194,2016-12-01 07:28:46 +0100
281,2016-12-01 07:23:04 +0100,210,2016-12-01 07:31:41 +0100
235,2016-12-01 07:23:18 +0100,186,2016-12-01 07:27:51 +0100
247,2016-12-01 07:23:51 +0100,279,2016-12-01 07:27:51 +0100
247,2016-12-01 07:24:04 +0100,249,2016-12-01 07:30:10 +0100
262,2016-12-01 07:24:08 +0100,186,2016-12-01 07:30:30 +0100
287,2016-12-01 07:24:12 +0100,279,2016-12-01 07:34:01 +0100
161,2016-12-01 07:24:22 +0100,292,2016-12-01 07:34:26 +0100
284,2016-12-01 07:24:42 +0100,218,2016-12-01 07:31:37 +0100
279,2016-12-01 07:24:45 +0100,181,2016-12-01 07:28:03 +0100
277,2016-12-01 07:25:24 +0100,295,2016-12-01 07:31:34 +0100
173,2016-12-01 07:25:41 +0100,177,2016-12-01 07:36:21 +0100
294,2016-12-01 07:25:48 +0100,297,2016-12-01 07:33:06 +0100
197,2016-12-01 07:26:11 +0100,281,2016-12-01 07:35:24 +0100
290,2016-12-01 07:26:26 +0100,292,2016-12-01 07:30:12 +0100
266,2016-12-01 07:26:43 +0100,163,2016-12-01 07:30:08 +0100
274,2016-12-01 07:26:46 +0100,160,2016-12-01 07:34:36 +0100
177,2016-12-01 07:26:49 +0100,228,2016-12-01 07:35:38 +0100
229,2016-12-01 07:27:18 +0100,288,2016-12-01 07:32:14 +0100
195,2016-12-01 07:29:01 +0100,253,2016-12-01 07:31:07 +0100
198,2016-12-01 07:29:03 +0100,199,2016-12-01 07:35:56 +0100
164,2016-12-01 07:29:19 +0100,243,2016-12-01 07:33:04 +0100
266,2016-12-01 07:29:52 +0100,200,2016-12-01 07:31:53 +0100
260,2016-12-01 07:30:22 +0100,292,2016-12-01 07:35:58 +0100
274,2016-12-01 07:30:28 +0100,247,2016-12-01 07:34:30 +0100
195,2016-12-01 07:31:00 +0100,278,2016-12-01 07:36:16 +0100
257,2016-12-01 07:31:20 +0100,277,2016-12-01 07:38:24 +0100
283,2016-12-01 07:31:36 +0100,295,2016-12-01 07:45:50 +0100
277,2016-12-01 07:31:37 +0100,157,2016-12-01 07:34:14 +0100
255,2016-12-01 07:32:36 +0100,157,2016-12-01 07:42:02 +0100
259,2016-12-01 07:32:48 +0100,189,2016-12-01 07:35:38 +0100
268,2016-12-01 07:32:52 +0100,161,2016-12-01 07:35:42 +0100
237,2016-12-01 07:33:19 +0100,158,2016-12-01 07:37:18 +0100
259,2016-12-01 07:33:40 +0100,169,2016-12-01 07:36:49 +0100
219,2016-12-01 07:33:47 +0100,238,2016-12-01 07:41:17 +0100
191,2016-12-01 07:33:48 +0100,204,2016-12-01 07:40:47 +0100
240,2016-12-01 07:34:07 +0100,288,2016-12-01 07:46:39 +0100
218,2016-12-01 07:34:08 +0100,199,2016-12-01 07:39:53 +0100
201,2016-12-01 07:34:31 +0100,241,2016-12-01 08:00:22 +0100
274,2016-12-01 07:34:54 +0100,274,2016-12-01 10:42:44 +0100
268,2016-12-01 07:35:37 +0100,268,2016-12-01 07:36:07 +0100
290,2016-12-01 07:35:53 +0100,202,2016-12-01 07:39:38 +0100
190,2016-12-01 07:36:03 +0100,199,2016-12-01 07:42:37 +0100
274,2016-12-01 07:36:16 +0100,204,2016-12-01 07:41:49 +0100
268,2016-12-01 07:36:17 +0100,284,2016-12-01 07:45:18 +0100
245,2016-12-01 07:36:21 +0100,277,2016-12-01 07:44:54 +0100
242,2016-12-01 07:36:42 +0100,229,2016-12-01 07:44:21 +0100
274,2016-12-01 07:36:58 +0100,297,2016-12-01 07:40:20 +0100
196,2016-12-01 07:36:59 +0100,277,2016-12-01 07:44:52 +0100
298,2016-12-01 07:37:20 +0100,290,2016-12-01 07:45:43 +0100
227,2016-12-01 07:37:29 +0100,293,2016-12-01 07:58:59 +0100
291,2016-12-01 07:38:05 +0100,184,2016-12-01 07:44:55 +0100
201,2016-12-01 07:38:42 +0100,297,2016-12-01 07:43:12 +0100
222,2016-12-01 07:38:53 +0100,222,2016-12-01 07:39:17 +0100
219,2016-12-01 07:38:59 +0100,253,2016-12-01 07:47:49 +0100
259,2016-12-01 07:39:00 +0100,181,2016-12-01 07:46:48 +0100
267,2016-12-01 07:39:13 +0100,209,2016-12-01 07:49:13 +0100
212,2016-12-01 07:39:21 +0100,297,2016-12-01 07:52:48 +0100
222,2016-12-01 07:39:21 +0100,288,2016-12-01 07:46:49 +0100
161,2016-12-01 07:39:42 +0100,181,2016-12-01 07:46:06 +0100
274,2016-12-01 07:39:48 +0100,157,2016-12-01 07:45:46 +0100
164,2016-12-01 07:40:36 +0100,288,2016-12-01 08:46:38 +0100
246,2016-12-01 07:40:52 +0100,306,2016-12-01 07:47:31 +0100
224,2016-12-01 07:41:14 +0100,291,2016-12-01 07:47:23 +0100
169,2016-12-01 07:41:17 +0100,169,2016-12-01 07:41:54 +0100
190,2016-12-01 07:41:40 +0100,201,2016-12-01 07:53:47 +0100
247,2016-12-01 07:41:45 +0100,274,2016-12-01 07:46:11 +0100
229,2016-12-01 07:41:51 +0100,229,2016-12-01 07:42:58 +0100
218,2016-12-01 07:41:54 +0100,189,2016-12-01 07:46:57 +0100
248,2016-12-01 07:42:07 +0100,191,2016-12-01 07:48:13 +0100
267,2016-12-01 07:42:26 +0100,291,2016-12-01 07:47:01 +0100
214,2016-12-01 07:43:12 +0100,211,2016-12-01 07:47:44 +0100
227,2016-12-01 07:43:17 +0100,181,2016-12-01 08:10:48 +0100
274,2016-12-01 07:43:25 +0100,247,2016-12-01 07:47:20 +0100
292,2016-12-01 07:43:39 +0100,279,2016-12-01 07:51:04 +0100
198,2016-12-01 07:43:50 +0100,275,2016-12-01 07:54:35 +0100
274,2016-12-01 07:43:51 +0100,247,2016-12-01 07:48:31 +0100
195,2016-12-01 07:43:54 +0100,253,2016-12-01 07:46:45 +0100
257,2016-12-01 07:43:59 +0100,211,2016-12-01 07:51:16 +0100
262,2016-12-01 07:44:05 +0100,200,2016-12-01 07:50:10 +0100
191,2016-12-01 07:44:07 +0100,253,2016-12-01 07:51:27 +0100
242,2016-12-01 07:44:11 +0100,214,2016-12-01 07:56:04 +0100
233,2016-12-01 07:44:18 +0100,272,2016-12-01 07:51:17 +0100
246,2016-12-01 07:44:20 +0100,302,2016-12-01 07:56:41 +0100
247,2016-12-01 07:44:25 +0100,279,2016-12-01 07:48:15 +0100
257,2016-12-01 07:44:34 +0100,251,2016-12-01 07:53:25 +0100
164,2016-12-01 07:44:38 +0100,195,2016-12-01 07:49:25 +0100
274,2016-12-01 07:44:44 +0100,247,2016-12-01 07:50:32 +0100
277,2016-12-01 07:45:06 +0100,288,2016-12-01 07:50:10 +0100
254,2016-12-01 07:45:26 +0100,254,2016-12-01 08:14:09 +0100
262,2016-12-01 07:45:27 +0100,163,2016-12-01 07:51:27 +0100
281,2016-12-01 07:45:29 +0100,175,2016-12-01 09:31:59 +0100
278,2016-12-01 07:45:31 +0100,247,2016-12-01 07:50:02 +0100
179,2016-12-01 07:45:36 +0100,220,2016-12-01 08:00:11 +0100
177,2016-12-01 07:45:38 +0100,288,2016-12-01 07:51:29 +0100
245,2016-12-01 07:45:50 +0100,277,2016-12-01 08:04:03 +0100
161,2016-12-01 07:46:18 +0100,279,2016-12-01 07:56:08 +0100
267,2016-12-01 07:46:21 +0100,193,2016-12-01 07:53:48 +0100
290,2016-12-01 07:46:35 +0100,247,2016-12-01 07:59:13 +0100
195,2016-12-01 07:46:41 +0100,253,2016-12-01 07:49:13 +0100
277,2016-12-01 07:46:56 +0100,211,2016-12-01 07:51:44 +0100
266,2016-12-01 07:47:06 +0100,266,2016-12-01 08:15:01 +0100
277,2016-12-01 07:47:15 +0100,211,2016-12-01 07:51:41 +0100
161,2016-12-01 07:47:16 +0100,195,2016-12-01 07:55:52 +0100
233,2016-12-01 07:47:22 +0100,161,2016-12-01 07:54:11 +0100
191,2016-12-01 07:47:34 +0100,234,2016-12-01 07:54:09 +0100
195,2016-12-01 07:47:37 +0100,253,2016-12-01 07:49:37 +0100
195,2016-12-01 07:47:40 +0100,292,2016-12-01 08:03:17 +0100
218,2016-12-01 07:47:42 +0100,232,2016-12-01 07:52:20 +0100
294,2016-12-01 07:47:42 +0100,288,2016-12-01 07:49:33 +0100
272,2016-12-01 07:47:49 +0100,249,2016-12-01 07:53:10 +0100
253,2016-12-01 07:48:07 +0100,181,2016-12-01 07:55:49 +0100
233,2016-12-01 07:48:16 +0100,301,2016-12-01 07:55:50 +0100
271,2016-12-01 07:48:19 +0100,279,2016-12-01 08:00:22 +0100
247,2016-12-01 07:48:28 +0100,279,2016-12-01 07:53:31 +0100
198,2016-12-01 07:48:42 +0100,181,2016-12-01 07:53:42 +0100
224,2016-12-01 07:48:48 +0100,206,2016-12-01 07:57:08 +0100
233,2016-12-01 07:48:54 +0100,235,2016-12-01 07:51:16 +0100
274,2016-12-01 07:49:06 +0100,247,2016-12-01 07:51:56 +0100
274,2016-12-01 07:49:27 +0100,247,2016-12-01 07:52:56 +0100
159,2016-12-01 07:49:38 +0100,251,2016-12-01 07:56:19 +0100
277,2016-12-01 07:49:58 +0100,236,2016-12-01 07:55:58 +0100
198,2016-12-01 07:50:06 +0100,306,2016-12-01 07:54:13 +0100
246,2016-12-01 07:50:09 +0100,163,2016-12-01 07:54:18 +0100
233,2016-12-01 07:50:13 +0100,306,2016-12-01 07:55:22 +0100
229,2016-12-01 07:51:27 +0100,281,2016-12-01 07:56:19 +0100
